1777824291.5061173; d; keyup
1777824291.5721025; ,; keydown
1777824291.6524818; Key.space; keydown
1777824291.6917033; ,; keyup
1777824291.7455177; Key.space; keyup
1777824291.8158417; c; keydown
1777824291.9026022; c; keyup
1777824291.9053233; h; keydown
1777824291.9844966; h; keyup
1777824292.0775738; Key.ctrl_l; keydown
1777824292.079314; Key.alt_gr; keydown
1777824292.1661503; ł; keydown
1777824292.27133; Key.ctrl_l; keyup
1777824292.27242; Key.alt_gr; keyup
1777824292.2777333; l; keyup
1777824292.3660166; o; keydown
1777824292.4600878; o; keyup
1777824292.4621654; Key.ctrl_l; keydown
1777824292.4632642; Key.alt_gr; keydown
1777824292.6549122; ń; keydown
1777824292.7700148; ń; keyup
1777824292.8238468; Key.ctrl_l; keyup
1777824292.8262942; Key.alt_gr; keyup
1777824292.9755733; Key.space; keydown
1777824293.0931046; Key.space; keyup
1777824293.1314497; d; keydown
1777824293.2197518; d; keyup
1777824293.274253; Key.ctrl_l; keydown
1777824293.2763994; Key.alt_gr; keydown
1777824293.3836348; ź; keydown
1777824293.4970798; ź; keyup
1777824293.5177507; Key.ctrl_l; keyup
1777824293.5185268; Key.alt_gr; keyup
1777824293.5955944; w; keydown
1777824293.6734633; i; keydown
1777824293.6883948; w; keyup
1777824293.743412; i; keyup
1777824293.7582493; Key.ctrl_l; keydown
1777824293.7585318; Key.alt_gr; keydown
1777824293.8724678; ę; keydown
1777824293.9664633; ę; keyup
1777824293.9672236; Key.ctrl_l; keyup
1777824293.9675257; Key.alt_gr; keyup
1777824294.0365632; k; keydown
1777824294.1247017; k; keyup
1777824294.2057245; Key.space; keydown
1777824294.2877245; Key.space; keyup
1777824294.3320858; i; keydown
1777824294.4090164; Key.space; keydown
1777824294.4425426; i; keyup
1777824294.5390654; g; keydown
1777824294.545542; Key.space; keyup
1777824294.5989275; g; keyup
1777824294.6745534; r; keydown
1777824294.7542737; a; keydown
1777824294.788415; r; keyup
1777824294.842129; a; keyup
1777824294.8994145; f; keydown
1777824294.9560108; i; keydown
1777824294.9729826; f; keyup
1777824295.0444157; i; keyup
1777824295.0850039; c; keydown
1777824295.1458223; c; keyup
1777824295.2344315; z; keydown
1777824295.3003929; n; keydown
1777824295.328536; z; keyup
1777824295.358224; i; keydown
1777824295.407694; n; keyup
1777824295.441338; e; keydown
1777824295.461559; i; keyup
1777824295.4994614; Key.space; keydown
1777824295.5202944; e; keyup
1777824295.613499; Key.space; keyup
1777824295.644715; z; keydown
1777824295.7120855; a; keydown
1777824295.727858; z; keyup
1777824295.7885737; Key.ctrl_l; keydown
1777824295.7899187; Key.alt_gr; keydown
1777824295.7996824; ą; keyup
1777824295.9498994; ł; keydown
1777824296.0470803; ł; keyup
1777824296.2447639; Key.backspace; keydown
1777824296.271197; Key.ctrl_l; keyup
1777824296.2715852; Key.alt_gr; keyup
1777824296.3278034; Key.backspace; keyup
1777824296.3473687; Key.ctrl_l; keydown
1777824296.3478582; Key.alt_gr; keydown
1777824296.4469328; ż; keydown
1777824296.5655224; ż; keyup
1777824296.5853496; Key.ctrl_l; keyup
1777824296.5859146; Key.alt_gr; keyup
1777824296.644272; Key.ctrl_l; keydown
1777824296.6448672; Key.alt_gr; keydown
1777824296.829771; ó; keydown
1777824296.935255; ó; keyup
1777824296.9911187; Key.ctrl_l; keyup
1777824296.9915507; Key.alt_gr; keyup
1777824297.0475404; Key.ctrl_l; keydown
1777824297.048735; Key.alt_gr; keydown
1777824297.1841228; ł; keydown
1777824297.2906682; ł; keyup
1777824297.336501; Key.ctrl_l; keyup
1777824297.3373716; Key.alt_gr; keyup
1777824297.5998335; Key.ctrl_l; keydown
1777824297.6011484; Key.alt_gr; keydown
1777824297.7338922; ć; keydown
1777824297.8379521; ć; keyup
1777824297.8412948; Key.ctrl_l; keyup
1777824297.8422737; Key.alt_gr; keyup
1777824297.9161375; Key.space; keydown
1777824298.027183; Key.space; keyup
1777824298.0555003; f; keydown
1777824298.1456406; f; keyup
1777824298.1585236; u; keydown
1777824298.2356958; u; keyup
1777824298.2849162; z; keydown
1777824298.3805552; z; keyup
