1777824327.1056786; w; keyup
1777824327.156713; Key.ctrl_l; keydown
1777824327.157313; Key.alt_gr; keydown
1777824327.1769402; None; keyup
1777824327.2437592; ę; keydown
1777824327.3310502; Key.ctrl_l; keyup
1777824327.3336816; Key.alt_gr; keyup
1777824327.3369725; e; keyup
1777824327.4383202; k; keydown
1777824327.528713; Key.space; keydown
1777824327.5487833; k; keyup
1777824327.622091; Key.space; keyup
1777824327.6572201; i; keydown
1777824327.7293308; Key.space; keydown
1777824327.768863; i; keyup
1777824327.8147936; g; keydown
1777824327.8175113; Key.space; keyup
1777824327.8827276; g; keyup
1777824327.9628325; r; keydown
1777824328.0288885; a; keydown
1777824328.058716; r; keyup
1777824328.113162; a; keyup
1777824328.1860054; f; keydown
1777824328.257409; f; keyup
1777824328.2593744; i; keydown
1777824328.3451788; i; keyup
1777824328.3703992; c; keydown
1777824328.421042; c; keyup
1777824328.5064073; z; keydown
1777824328.5943673; n; keydown
1777824328.6120718; z; keyup
1777824328.6416812; i; keydown
1777824328.7031202; n; keyup
1777824328.7270155; e; keydown
1777824328.7578444; i; keyup
1777824328.7901578; Key.space; keydown
1777824328.7985785; e; keyup
1777824328.8885195; Key.space; keyup
1777824328.9068084; z; keydown
1777824328.9916058; a; keydown
1777824328.9984276; Key.ctrl_l; keydown
1777824328.998785; Key.alt_gr; keydown
1777824329.025712; ż; keyup
1777824329.081077; ą; keyup
1777824329.1719756; ł; keydown
1777824329.2754002; ł; keyup
1777824329.309505; Key.ctrl_l; keyup
1777824329.310002; Key.alt_gr; keyup
1777824329.3395882; Key.ctrl_l; keydown
1777824329.34023; Key.alt_gr; keydown
1777824329.50906; Key.ctrl_l; keyup
1777824329.5103183; Key.alt_gr; keyup
1777824329.5401037; Key.backspace; keydown
1777824329.605375; Key.backspace; keyup
1777824329.6165156; Key.ctrl_l; keydown
1777824329.6170971; Key.alt_gr; keydown
1777824329.7230773; ż; keydown
1777824329.83868; ż; keyup
1777824329.8403387; Key.ctrl_l; keyup
1777824329.8408003; Key.alt_gr; keyup
1777824329.9028728; Key.ctrl_l; keydown
1777824329.9039085; Key.alt_gr; keydown
1777824329.9925973; ó; keydown
1777824330.0782213; ó; keyup
1777824330.1258526; Key.ctrl_l; keyup
1777824330.1268642; Key.alt_gr; keyup
1777824330.1712465; Key.ctrl_l; keydown
1777824330.1731348; Key.alt_gr; keydown
1777824330.2622197; ł; keydown
1777824330.3543637; ł; keyup
1777824330.382177; Key.ctrl_l; keyup
1777824330.3844194; Key.alt_gr; keyup
1777824330.475148; Key.ctrl_l; keydown
1777824330.4771113; Key.alt_gr; keydown
1777824330.61594; ć; keydown
1777824330.7048666; Key.ctrl_l; keyup
1777824330.7056637; Key.alt_gr; keyup
1777824330.7230768; c; keyup
1777824330.7931595; Key.space; keydown
1777824330.899737; Key.space; keyup
1777824330.9072769; f; keydown
1777824330.9995685; f; keyup
1777824331.0215766; u; keydown
1777824331.108177; u; keyup
1777824331.1382422; z; keydown
1777824331.2293105; j; keydown
1777824331.2436972; z; keyup
1777824331.294605; Key.ctrl_l; keydown
1777824331.295413; Key.alt_gr; keydown
1777824331.3136232; None; keyup
1777824331.414351; ę; keydown
1777824331.4980316; Key.ctrl_l; keyup
1777824331.4994218; Key.alt_gr; keyup
1777824331.5070577; e; keyup
1777824331.5532434; Key.space; keydown
1777824331.660285; Key.space; keyup
1777824331.707203; p; keydown
1777824331.809845; r; keydown
1777824331.8106282; p; keyup
1777824331.9010823; r; keyup
1777824331.9079576; o; keydown
1777824331.962448; o; keyup
1777824332.087445; j; keydown
1777824332.1749246; j; keyup
1777824332.1768444; e; keydown
1777824332.2893255; e; keyup
1777824332.4276779; k; keydown
1777824332.528185; k; keyup
1777824332.550403; t; keydown
1777824332.630626; t; keyup
1777824332.6483164; Key.ctrl_l; keydown
1777824332.6487732; Key.alt_gr; keydown
1777824332.7093835; ó; keydown
1777824332.7787693; Key.ctrl_l; keyup
1777824332.7802906; Key.alt_gr; keyup
1777824332.782589; o; keyup
1777824332.8268192; w; keydown
1777824332.9095094; w; keyup
1777824333.2160223; .; keydown
1777824333.2673388; .; keyup
1777824333.508559; Key.enter; keydown
1777824333.5903792; Key.enter; keyup
